epoch,loss,val_loss
1,0.9634580016136169,1.1229286193847656
2,0.9242076873779297,1.0847784280776978
3,0.8995774984359741,1.0477380752563477
4,0.8788739442825317,1.0326133966445923
5,0.8616645932197571,1.0345319509506226
6,0.8493552803993225,1.0453057289123535
7,0.8375043869018555,1.0634671449661255
8,0.8286643624305725,1.086801290512085
9,0.8181667923927307,1.115800380706787
10,0.8112952709197998,1.1385350227355957
11,0.802208662033081,1.1640831232070923
12,0.7956053018569946,1.195746660232544
13,0.788227379322052,1.2296730279922485
14,0.7850196361541748,1.2213263511657715
