model,n_predictions,mae,rmse,smape,mase
exponential_smoothing,225,8.3676098790917,17.954421168837566,168.6202539943568,1.1775491947966237
lstm,225,7.572219503063626,17.406238905992605,178.76644891446256,1.3197974432242439
sarima,225,6.152124735720608,16.782290549820456,100.43626886295267,0.9098181009049752
xgboost,225,7.348737865136729,17.400957056837225,182.98268728468335,1.2042054426141764
